/ Needs stats and other creations
/ WRONG! IGNORE! name hp atk def sp.atk sp.def speed type_1 type_2 pre-evolve creator( level:attack)*
/
!Squiree 40 atk def spAtk spDfn spd Grass None none REL
Chlorosteel hp atk def spAtk spDfn spd Grass Steel none JBL
Tungstem hp atk def spAtk spDfn spd Grass Steel Chlorosteel JBL
Ferrotrap hp atk def spAtk spDfn spd Grass Steel Tungstem JBL
Drillpecker hp atk def spAtk spDfn spd Steel Flying none REL
Monleaf hp atk def spAtk spDfn spd Grass None none REL
Jungarilla hp atk def spAtk spDfn spd Grass Flying Monleaf REL
Spindusk hp atk def spAtk spDfn spd Bug Dark none JBL
Daracnid hp atk def spAtk spDfn spd Bug Dark Spindusk JBL
Ghoulkin hp atk def spAtk spDfn spd Grass Ghost none REL
Scarephantem hp atk def spAtk spDfn spd Fighting Ghost Ghoulkin REL
Ghouldren hp atk def spAtk spDfn spd Fire Ghost none JBL
Inkgot hp atk def spAtk spDfn spd Water None none JBL
Tetragool hp atk def spAtk spDfn spd Water None Inkgot JBL
Platison hp atk def spAtk spDfn spd Water Poison none REL
Tarsia hp atk def spAtk spDfn spd Normal Life none REL
Spheron hp atk def spAtk spDfn spd Steel Psychic none JBL
Brakorb hp atk def spAtk spDfn spd Steel Psychic Spheron JBL
Fragbal hp atk def spAtk spDfn spd Steel Psychic Brakorb JBL
Shelbush hp atk def spAtk spDfn spd Grass None none REL
Lizatree hp atk def spAtk spDfn spd Grass Life Shelbush REL
Paonfowl hp atk def spAtk spDfn spd Life Flying none REL
Furrafros hp atk def spAtk spDfn spd Ice Fairy none JBL
Raymora hp atk def spAtk spDfn spd Water Electric none JBL
Treshera hp atk def spAtk spDfn spd Water Dark none JBL
Playphine hp atk def spAtk spDfn spd Water Life none REL
Katari hp atk def spAtk spDfn spd Fighting None none JBL
/(Punching) ------------------------------------------------------------------------hp atk def spAtk spDfn spd Fighting None Katari REL
/(Kicking) -------------------------------------------------------------------------hp atk def spAtk spDfn spd Fighting None Katari REL
Skaraby hp atk def spAtk spDfn spd Bug Rock none JBL
Skarabac hp atk def spAtk spDfn spd Bug Rock Skaraby JBL
Combalectric hp atk def spAtk spDfn spd Electric Fighting none JBL
Nocterval hp atk def spAtk spDfn spd Dark Fighting none JBL
Seedle hp atk def spAtk spDfn spd Grass Life none REL
Growthspa hp atk def spAtk spDfn spd Grass Life Seedle REL
Grandantree hp atk def spAtk spDfn spd Grass Life Growthspa REL
Magmant hp atk def spAtk spDfn spd Fire Bug none JBL
Solderant hp atk def spAtk spDfn spd Fire Fighting Magmant JBL
Formonarch hp atk def spAtk spDfn spd Fire Flying Magmant JBL
Rinopy hp atk def spAtk spDfn spd Normal None none REL
Triceros hp atk def spAtk spDfn spd Ground None Rinopy REL
Icyclaw hp atk def spAtk spDfn spd Ice Rock none REL
Snofang hp atk def spAtk spDfn spd Ice Rock Icyclaw REL
Mammothen hp atk def spAtk spDfn spd Ice Rock none REL
Dunepion hp atk def spAtk spDfn spd Bug Rock none JBL
Scorpodand hp atk def spAtk spDfn spd Bug Rock Dunepion JBL
Archepede hp atk def spAtk spDfn spd Bug Rock none JBL
Primapede hp atk def spAtk spDfn spd Bug Rock Archepede JBL
Ventipor hp atk def spAtk spDfn spd Fire None none REL
Boilcano hp atk def spAtk spDfn spd Fire Water Ventipor REL
Polarguin hp atk def spAtk spDfn spd Ice Water none JBL
Pengueeze hp atk def spAtk spDfn spd Ice Water Polarguin JBL
Antarcon hp atk def spAtk spDfn spd Ice Flying Pengueeze JBL
Droken hp atk def spAtk spDfn spd Dragon None none REL
Drakendrion hp atk def spAtk spDfn spd Dragon None Droken JBL
Plyon hp atk def spAtk spDfn spd Electric Steel none JBL
Energion hp atk def spAtk spDfn spd Electric Steel Plyon JBL
Polterpup hp atk def spAtk spDfn spd Ghost None none REL
Faerghoul hp atk def spAtk spDfn spd Ghost Dark Polterpup REL
Spirisp hp atk def spAtk spDfn spd Ghost Psychic none JBL
Volterstorm hp atk def spAtk spDfn spd Electric None none REL
Voltergeist hp atk def spAtk spDfn spd Electric Ghost Volterstorm JBL
Geritide hp atk def spAtk spDfn spd Bug Water none JBL
Vespastorm hp atk def spAtk spDfn spd Bug Electric none REL
Terramantid hp atk def spAtk spDfn spd Bug Fighting none JBL
Renix hp atk def spAtk spDfn spd Fire Flying none JBL
Shadamancer hp atk def spAtk spDfn spd Dark Psychic none JBL
Solarean hp atk def spAtk spDfn spd Fire Electric none JBL
Lunaros hp atk def spAtk spDfn spd Dark Ghost none JBL
Sawasion hp atk def spAtk spDfn spd Fire Psychic none REL
